Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
Canada,2008,Developing,87.0,74.0,2,8.3,8433.936814,28.0,62,63.0,2,89.0,1.3,92.0,0.1,46596.33599,33245773.0,0.5,0.4,0.897,15.8,Influenza,Infectious,3.05,10.49,0.67,36-60,Female,103089,70.44,1.62,6.51,Surgery,46374,No,74.96,4911,8.46,49874,0.74,45.9,50,0,0,110,254,0,0,159,0,0.0,2,0,2,1
Brazil,2003,Developing,71.8,172.0,88,6.95,15.85781237,97.0,2,46.1,100,99.0,6.94,99.0,0.1,359.587582,182482149.0,3.3,3.3,0.699,14.8,Leprosy,Metabolic,16.8,8.83,5.37,36-60,Male,558784,58.72,1.22,4.02,Surgery,35103,No,77.81,192,8.25,60728,0.49,52.04,54,1,0,140,239,0,1,160,0,1.2,2,0,2,1
Japan,2012,Developed,83.3,58.0,2,7.39,121.5869163,80.94046121593291,228,27.8,3,99.0,1.17,97.0,0.1,4863.47665,127629.0,1.9,1.7,0.889,15.3,Measles,Genetic,19.41,9.96,8.9,61+,Male,828742,51.44,3.7,8.47,Vaccination,7685,No,96.88,1608,9.09,93292,0.44,41.1,64,1,0,145,212,0,0,132,0,2.0,1,2,1,0
Nigeria,2015,Developing,54.5,344.0,483,4.602860787172012,0.0,49.0,12423,25.4,747,49.0,5.9381895280236,49.0,3.7,2655.157977,181181744.0,9.8,9.7,0.525,10.0,Polio,Neurological,1.3,0.14,2.33,36-60,Male,144981,82.82,0.7,1.93,Medication,42610,Yes,94.05,754,9.33,83152,0.49,43.37,46,1,0,140,311,0,1,120,1,1.8,1,2,3,0
Canada,2003,Developing,79.7,78.0,2,7.7,4687.845565,14.0,15,6.0,2,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5,0.4,0.877,15.8,Cancer,Neurological,12.1,13.54,1.3,36-60,Female,982722,60.96,2.08,0.83,Therapy,18506,No,70.46,2865,2.61,92216,0.57,83.6,54,1,0,122,286,0,0,116,1,3.2,1,2,2,0
Turkey,2005,Developing,72.4,129.0,30,1.29,832.9552058,85.0,6200,57.6,36,9.0,5.45,9.0,0.1,7384.354661,679346.0,5.0,4.9,0.681,11.9,Malaria,Metabolic,5.87,3.39,3.39,61+,Male,209565,74.67,4.31,4.38,Surgery,43485,Yes,80.59,4108,1.26,59782,0.82,30.27,70,1,1,156,245,0,0,143,0,0.0,2,0,2,1
Indonesia,2013,Developing,68.7,181.0,124,0.09,22.8478308,85.0,8419,25.6,148,86.0,2.93,85.0,0.3,362.663981,25232263.0,1.5,1.3,0.677,12.9,HIV/AIDS,Bacterial,4.24,6.86,7.09,36-60,Female,985802,63.74,1.47,7.73,Therapy,25879,Yes,82.53,232,3.13,93649,0.72,48.17,54,1,0,110,239,0,1,126,1,2.8,1,1,3,0
India,2008,Developing,65.5,23.0,1300,1.93,43.03043312,29.0,44258,14.9,1800,69.0,4.34,7.0,0.3,991.484634,119714696.0,27.0,27.9,0.556,10.2,Parkinson's Disease,Autoimmune,17.5,4.57,7.1,36-60,Other,447717,76.9,1.91,3.32,Medication,10853,No,58.73,2036,4.46,76960,0.57,73.65,53,0,0,130,264,0,0,143,0,0.4,1,0,2,1
Mexico,2002,Developing,75.0,127.0,49,4.77,12.1859723,97.0,0,54.1,58,98.0,5.52,97.0,0.1,716.8219,1435568.0,1.9,1.8,0.703,11.6,Hypertension,Genetic,2.33,10.62,5.24,36-60,Other,404439,81.39,1.03,0.77,Medication,45102,No,90.59,3220,2.15,73951,0.48,42.93,52,1,0,128,204,1,1,156,1,1.0,1,0,0,0
Germany,2003,Developed,78.5,9.0,3,11.92,582.6157028,9.0,779,56.6,4,96.0,1.62,97.0,0.1,3359.95215,82534176.0,1.1,1.1,0.872,16.3,Asthma,Genetic,2.97,7.61,4.74,36-60,Female,202088,55.39,3.55,1.44,Medication,11123,Yes,57.54,4545,1.33,27089,0.43,44.19,53,1,0,123,282,0,1,95,1,2.0,1,2,3,0
Saudi Arabia,2002,Developing,72.9,15.0,10,0.05,688.0972667,97.0,311,57.7,11,95.0,4.28,95.0,0.1,8655.311531,12753375.120052494,7.3,7.3,0.745,12.1,Rabies,Respiratory,7.55,8.06,7.51,61+,Female,32148,92.09,1.34,3.29,Surgery,12152,No,83.33,4420,8.93,9649,0.85,43.77,67,1,0,100,299,0,0,125,1,0.9,1,2,2,0
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Asthma,Neurological,6.92,12.62,0.15,61+,Other,661436,95.37,2.63,2.2,Vaccination,48735,Yes,75.67,2057,4.83,79006,0.78,49.71,62,1,1,128,208,1,0,140,0,0.0,2,0,2,1
Australia,2007,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.918,19.0,Hepatitis,Bacterial,12.43,2.19,9.3,36-60,Male,904062,56.71,3.43,7.27,Therapy,47855,No,50.97,4462,9.42,22987,0.52,41.98,49,1,2,120,188,0,1,139,0,2.0,1,3,3,0
Brazil,2007,Developing,73.3,159.0,65,7.19,394.9321299,99.0,0,49.4,73,99.0,8.28,99.0,0.1,7313.557962,19126637.0,3.1,3.0,0.7,13.5,COVID-19,Neurological,10.64,13.84,5.82,36-60,Other,356293,65.04,4.42,8.39,Surgery,34428,No,92.52,1880,0.53,75732,0.54,64.23,37,1,2,130,250,0,1,187,0,3.5,0,0,2,1
China,2013,Developing,75.6,88.0,185,5.79,9.955532032,99.0,26883,3.9,216,99.0,5.39,99.0,0.1,777.77594,135738.0,3.8,3.2,0.713,12.7,Parkinson's Disease,Parasitic,17.05,0.15,3.61,36-60,Female,449049,72.78,4.74,4.64,Surgery,41563,No,65.25,1146,0.21,64398,0.85,78.22,60,0,2,120,178,1,1,96,0,0.0,2,0,2,1
Indonesia,2014,Developing,68.9,179.0,119,0.09,200.0684443,78.0,12943,26.5,142,8.0,2.85,78.0,0.3,3491.595887,255131116.0,1.4,1.2,0.682,12.9,Hypertension,Respiratory,5.59,10.51,8.18,36-60,Female,467869,67.14,2.77,3.26,Surgery,40769,Yes,60.89,3512,1.71,12060,0.61,73.68,37,0,2,120,215,0,1,170,0,0.0,2,0,2,1
Turkey,2001,Developing,78.0,14.0,41,1.49,256.4341746,77.0,30509,54.3,50,88.0,5.16,88.0,0.1,3119.63716,64191474.0,5.2,5.1,0.653,11.1,Leprosy,Respiratory,11.52,12.4,0.76,36-60,Female,648949,58.03,0.89,7.38,Therapy,10621,Yes,63.3,2854,6.47,7874,0.56,59.85,46,0,0,138,243,0,0,152,1,0.0,1,0,2,1
France,2013,Developing,82.0,81.0,3,11.1,6646.953935,74.0,272,61.6,3,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6,0.6,0.887,16.2,Tuberculosis,Respiratory,17.54,9.11,2.45,36-60,Other,651828,82.87,4.39,1.52,Therapy,44042,No,65.32,1776,8.51,94956,0.41,40.44,42,1,0,140,226,0,1,178,0,0.0,2,0,2,1
Brazil,2000,Developing,75.0,183.0,111,7.26,179.4777293,94.0,36,43.7,127,99.0,7.3,98.0,0.1,3739.11936,175287587.0,3.4,3.4,0.677,14.1,COVID-19,Neurological,0.9,6.0,3.47,36-60,Other,276879,83.98,2.5,5.24,Surgery,18112,Yes,63.38,230,1.77,74273,0.73,32.54,57,1,0,110,201,0,1,126,1,1.5,1,0,1,1
Australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3,Alzheimer's Disease,Respiratory,11.15,9.31,4.35,61+,Male,591261,77.58,1.97,3.73,Surgery,27831,No,84.37,2507,1.07,55642,0.43,33.57,63,0,2,135,252,0,0,172,0,0.0,2,0,2,1
Turkey,2013,Developing,75.2,19.0,17,1.41,188.1440348,97.0,7405,64.5,20,98.0,5.38,98.0,0.1,12542.93565,75787333.0,4.9,4.7,0.754,14.4,Dengue,Infectious,16.18,13.63,7.64,36-60,Male,987452,73.19,3.77,5.45,Therapy,14964,No,55.6,3156,9.91,18664,0.41,88.23,54,1,2,120,258,0,0,147,0,0.4,1,0,3,1
Argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,Cancer,Cardiovascular,10.95,7.22,5.36,36-60,Other,258299,76.14,3.89,6.19,Medication,41778,Yes,96.81,3190,3.13,31837,0.49,66.31,54,0,1,132,288,1,0,159,1,0.0,2,1,2,1
Nigeria,2000,Developing,47.1,45.0,576,9.23,22.48177606,80.94046121593291,212183,16.9,943,31.0,2.84,29.0,4.9,379.1193264,1223529.0,14.3,14.4,0.0,7.6,Cancer,Chronic,7.72,11.94,1.34,36-60,Other,300745,70.41,3.19,6.88,Vaccination,31803,No,63.62,2666,2.01,49612,0.59,51.61,57,1,0,140,192,0,1,148,0,0.4,1,0,1,1
Italy,2014,Developed,82.5,57.0,2,7.56,4831.644796,95.0,0,63.1,2,95.0,9.25,95.0,0.1,35396.66517,678914.0,0.6,0.6,0.877,16.3,Measles,Autoimmune,12.46,3.99,2.01,36-60,Male,943803,63.98,0.83,7.18,Therapy,49528,No,98.77,1725,5.75,4922,0.63,44.23,54,1,0,110,239,0,1,126,1,2.8,1,1,3,0
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Influenza,Bacterial,4.46,11.73,2.45,36-60,Male,750790,74.11,4.16,6.86,Vaccination,47537,Yes,66.44,1640,5.35,59085,0.55,61.73,54,1,1,192,283,0,0,195,0,0.0,2,1,3,0
China,2002,Developing,72.7,16.0,422,2.91,106.3590358,7.0,58341,21.9,511,86.0,4.79,86.0,0.1,1148.5857,1284.0,5.5,4.9,0.6,9.7,Zika,Genetic,11.03,8.78,6.24,19-35,Male,519990,66.31,1.82,5.69,Surgery,15284,No,74.54,1454,4.26,880,0.55,21.43,34,1,3,118,182,0,0,174,0,0.0,2,0,2,1
Argentina,2012,Developing,75.9,12.0,9,8.35,1133.558003,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.822,17.2,Malaria,Viral,15.34,3.4,5.98,61+,Male,594892,86.18,4.96,7.32,Surgery,19716,Yes,51.09,2228,5.98,28611,0.45,73.95,69,1,3,160,234,1,0,131,0,0.1,1,1,2,1
China,2012,Developing,75.4,89.0,201,5.74,94.4344566,99.0,6183,3.0,233,99.0,5.26,99.0,0.1,6337.882993,135695.0,3.9,3.3,0.703,12.4,Zika,Neurological,7.0,5.58,0.56,36-60,Female,329427,50.81,4.05,6.21,Therapy,44648,No,81.53,2546,4.02,63956,0.65,86.53,57,0,0,140,241,0,1,123,1,0.2,1,0,3,0
Canada,2014,Developing,82.0,65.0,2,8.1,102.1902168,55.0,418,66.4,2,91.0,1.45,91.0,0.1,544.43376,35544564.0,0.5,0.5,0.912,15.9,Hepatitis,Neurological,9.18,3.76,2.25,61+,Other,479103,62.06,4.81,3.78,Vaccination,39273,Yes,84.5,3665,8.49,30077,0.82,66.03,68,1,2,118,277,0,1,151,0,1.0,2,1,3,1
Turkey,2004,Developing,72.0,132.0,33,1.35,1.132766775,77.0,8927,56.8,39,85.0,5.37,85.0,0.1,64.72953,677855.0,5.1,4.9,0.675,12.0,Influenza,Chronic,3.07,12.37,5.54,36-60,Female,817383,86.09,4.14,4.22,Medication,31688,No,85.02,3438,5.33,60441,0.42,37.16,52,1,0,125,212,0,1,168,0,1.0,2,2,3,0
Germany,2010,Developed,81.0,76.0,2,11.2,7584.078579,88.0,780,59.9,3,94.0,11.25,95.0,0.1,41785.55691,8177693.0,1.1,1.1,0.907,16.7,Diabetes,Infectious,0.52,4.97,7.86,36-60,Male,601795,99.31,4.07,4.31,Vaccination,16021,No,56.19,1401,0.63,32377,0.41,44.57,41,1,1,135,203,0,1,132,0,0.0,1,0,1,1
Saudi Arabia,2013,Developing,74.3,89.0,8,0.09,2047.113102,98.0,1164,66.4,9,98.0,4.25,98.0,0.1,24934.38614,12753375.120052494,7.6,7.5,0.83,15.2,Asthma,Metabolic,10.36,0.55,5.85,36-60,Female,745822,95.07,1.47,5.55,Therapy,49956,Yes,76.81,1353,3.5,95055,0.6,69.05,41,1,1,135,203,0,1,132,0,0.0,1,0,1,1
France,2005,Developing,81.0,93.0,3,12.2,5451.701225,35.0,36,57.5,4,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.6,0.6,0.86,15.5,Hepatitis,Bacterial,10.43,5.4,6.58,36-60,Male,760404,65.5,4.68,8.21,Therapy,45682,Yes,54.4,318,2.47,77915,0.48,81.64,52,1,0,128,255,0,1,161,1,0.0,2,1,3,0
China,2008,Developing,74.5,97.0,266,4.27,39.22509728,95.0,131441,26.5,308,99.0,4.59,97.0,0.1,3471.247547,1324655.0,4.5,4.0,0.672,11.9,Malaria,Cardiovascular,18.19,0.56,1.26,36-60,Male,83649,69.72,4.59,2.03,Medication,42208,No,59.41,1589,2.21,87632,0.81,82.2,59,1,0,140,177,0,1,162,1,0.0,2,1,3,0
Japan,2005,Developed,82.0,69.0,3,7.99,6799.664423,80.94046121593291,0,24.4,4,95.0,8.18,98.0,0.1,37217.64873,127773.0,1.7,1.5,0.87,14.9,Alzheimer's Disease,Genetic,5.07,13.79,3.95,61+,Male,53317,60.71,1.08,1.88,Vaccination,4427,Yes,57.05,2265,4.92,10919,0.59,65.29,68,1,0,144,193,1,1,141,0,3.4,1,2,3,0
Canada,2006,Developing,85.0,75.0,2,8.2,771.1817686,14.0,13,61.9,2,95.0,9.75,95.0,0.1,4386.69948,325755.0,0.5,0.4,0.891,15.8,Diabetes,Bacterial,16.75,7.9,6.16,19-35,Male,529476,62.49,2.39,6.66,Surgery,30628,Yes,58.05,1655,5.97,13128,0.57,61.48,35,1,0,126,282,0,0,156,1,0.0,2,0,3,0
France,2012,Developing,81.5,83.0,3,11.5,751.3793553,78.0,0,61.1,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,0.6,0.885,16.1,Alzheimer's Disease,Neurological,11.94,1.34,0.78,61+,Female,760110,66.54,3.42,8.43,Medication,7300,Yes,65.26,1853,5.47,97621,0.7,45.43,64,1,3,170,227,0,0,155,0,0.6,1,0,3,1
Turkey,2011,Developing,74.5,114.0,20,1.53,1275.877569,96.0,111,62.8,23,97.0,5.29,97.0,0.1,11341.13395,7349455.0,4.9,4.7,0.737,13.8,Cholera,Chronic,19.42,0.39,7.75,36-60,Male,905854,65.13,3.16,0.86,Medication,35461,Yes,60.43,1560,0.8,18111,0.88,34.07,51,0,2,130,256,0,0,149,0,0.5,2,0,2,1
Nigeria,2002,Developing,47.7,49.0,571,9.61,17.137754,80.94046121593291,42007,17.8,928,4.0,2.43,25.0,5.3,459.4572117,12866671.0,13.8,13.8,0.0,7.7,Asthma,Respiratory,0.6,14.44,2.92,36-60,Other,190539,56.66,1.08,8.96,Therapy,32405,No,57.07,3620,4.96,40906,0.75,83.3,57,1,2,150,126,1,1,173,0,0.2,2,1,3,1
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Leprosy,Infectious,14.38,13.23,4.73,36-60,Female,606035,60.39,4.45,5.01,Therapy,3258,No,79.07,4546,4.16,2574,0.51,47.9,58,1,0,114,318,0,2,140,0,4.4,0,3,1,0
Turkey,2000,Developing,74.0,143.0,44,1.54,421.2956602,71.0,16244,53.5,54,85.0,4.95,85.0,0.1,4316.553895,6324121.0,5.3,5.2,0.641,10.7,Zika,Cardiovascular,5.45,7.02,9.46,61+,Male,829526,59.89,4.94,6.52,Medication,34275,Yes,82.52,1981,5.7,60274,0.55,43.17,65,0,2,140,417,1,0,157,0,0.8,2,1,2,1
Saudi Arabia,2011,Developing,73.9,92.0,8,0.09,173.5755595,98.0,362,64.7,9,98.0,3.57,98.0,0.1,2377.74739,12753375.120052494,7.4,7.4,0.804,13.9,Influenza,Autoimmune,17.7,11.39,2.92,61+,Other,197923,78.77,4.5,2.53,Surgery,9866,Yes,95.45,2344,3.9,13434,0.54,86.9,71,0,0,112,149,0,1,125,0,1.6,1,0,2,1
Saudi Arabia,2012,Developing,74.1,9.0,8,0.09,196.3808305,98.0,294,65.6,9,98.0,3.86,98.0,0.1,2533.9462,12753375.120052494,7.5,7.4,0.818,14.5,Hepatitis,Viral,3.85,6.06,2.01,36-60,Other,211462,81.76,3.44,4.2,Therapy,49839,No,56.11,2806,4.46,82875,0.64,35.19,56,1,1,130,221,0,0,163,0,0.0,2,0,3,1
Saudi Arabia,2014,Developing,74.4,88.0,7,0.09,2017.643131,98.0,154,67.3,9,98.0,4.68,98.0,0.1,24575.434,12753375.120052494,7.7,7.5,0.841,15.8,Influenza,Viral,13.29,10.19,0.77,36-60,Other,133124,93.61,4.73,2.31,Medication,34993,Yes,88.43,253,4.82,68438,0.77,56.26,48,1,2,124,255,1,1,175,0,0.0,2,2,2,1
Japan,2014,Developed,83.5,57.0,2,0.01,88.83362243,80.94046121593291,462,28.6,3,99.0,1.23,96.0,0.1,3896.21151,127276.0,2.0,1.7,0.899,15.3,Cancer,Parasitic,9.99,1.0,9.91,61+,Other,485042,94.18,1.3,9.89,Therapy,23338,No,92.85,1032,0.93,17651,0.41,76.97,64,0,0,130,303,0,1,122,0,2.0,1,2,2,1
Italy,2001,Developed,79.8,75.0,2,9.69,3.1222302,95.0,0,55.7,3,96.0,8.11,93.0,0.1,24.819,569741.0,0.5,0.5,0.828,14.9,Cancer,Chronic,13.43,10.31,0.58,36-60,Other,197590,64.83,2.27,1.52,Vaccination,20349,Yes,59.52,3553,4.66,68032,0.69,62.87,45,1,3,110,264,0,1,132,0,1.2,1,0,3,0
France,2013,Developing,82.0,81.0,3,11.1,6646.953935,74.0,272,61.6,3,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6,0.6,0.887,16.2,Polio,Parasitic,4.43,6.11,1.77,36-60,Male,533344,93.65,4.66,3.12,Vaccination,47157,No,53.95,2679,6.18,57924,0.79,77.84,51,1,3,125,213,0,0,125,1,1.4,2,1,2,1
Argentina,2000,Developing,74.1,137.0,12,7.68,1349.025282,80.94046121593291,6,54.0,14,88.0,9.21,83.0,0.1,7669.273916,3757452.0,1.2,1.1,0.764,15.0,Alzheimer's Disease,Infectious,7.71,2.56,8.92,36-60,Male,651768,77.59,1.59,8.03,Vaccination,29920,Yes,79.96,3045,3.83,67042,0.58,43.73,51,0,2,140,308,0,0,142,0,1.5,2,1,2,1
South Africa,2007,Developing,54.5,486.0,51,8.48,805.490079,83.0,31,45.0,79,79.0,7.53,82.0,26.4,6125.39984,48883844.99,9.7,11.7,0.612,12.9,Dengue,Parasitic,18.18,8.9,4.13,36-60,Female,606722,93.32,1.48,3.23,Therapy,49227,No,59.99,2397,7.32,49566,0.55,78.51,37,0,2,120,215,0,1,170,0,0.0,2,0,2,1
France,2003,Developing,79.3,99.0,3,13.49,4572.441963,28.0,0,56.4,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4,Zika,Bacterial,8.96,8.06,0.2,36-60,Female,908142,78.26,3.27,5.71,Vaccination,18292,Yes,98.78,4738,7.5,38212,0.79,56.98,42,1,0,136,315,0,1,125,1,1.8,1,0,1,0
Turkey,2012,Developing,74.8,112.0,19,1.54,20.75120211,97.0,349,63.7,22,97.0,5.24,97.0,0.1,1172.3843,74569867.0,4.9,4.7,0.75,14.3,HIV/AIDS,Respiratory,12.6,12.02,5.86,36-60,Male,211841,81.49,2.29,0.52,Therapy,25241,No,98.47,1477,4.81,29535,0.68,36.7,54,1,2,125,273,0,0,152,0,0.5,0,1,2,1
Italy,2011,Developed,82.0,6.0,2,6.98,5439.691769,96.0,5189,61.5,2,96.0,9.27,96.0,0.1,38334.68477,59379449.0,0.5,0.5,0.872,16.4,Zika,Respiratory,19.22,11.37,3.83,36-60,Female,788490,86.25,2.62,8.95,Vaccination,49858,No,71.69,2127,4.74,74378,0.64,70.25,52,1,2,172,199,1,1,162,0,0.5,2,0,3,1
Italy,2003,Developed,79.9,72.0,2,9.3,3519.258515,95.0,10982,57.0,3,97.0,8.17,96.0,0.1,27387.2258,5731323.0,0.5,0.5,0.841,15.4,Rabies,Chronic,14.05,9.85,2.81,61+,Female,677171,52.26,0.96,1.04,Vaccination,41572,Yes,92.53,4232,0.22,6882,0.55,59.94,65,1,3,138,282,1,0,174,0,1.4,1,1,2,0
Brazil,2000,Developing,75.0,183.0,111,7.26,179.4777293,94.0,36,43.7,127,99.0,7.3,98.0,0.1,3739.11936,175287587.0,3.4,3.4,0.677,14.1,Diabetes,Metabolic,2.34,8.92,9.37,36-60,Female,846784,66.41,3.92,1.67,Surgery,39003,No,72.18,194,6.3,60493,0.64,52.38,59,1,0,164,176,1,0,90,0,1.0,1,2,1,0
Brazil,2008,Developing,73.4,158.0,61,7.21,526.3780636,96.0,0,5.3,68,99.0,8.24,99.0,0.1,8787.61375,19297929.0,3.0,3.0,0.704,13.3,COVID-19,Cardiovascular,5.71,6.11,1.33,36-60,Other,379469,73.8,3.26,5.89,Medication,22242,No,93.1,1351,2.29,51010,0.87,72.08,58,1,2,112,230,0,0,165,0,2.5,1,1,3,0
Saudi Arabia,2011,Developing,73.9,92.0,8,0.09,173.5755595,98.0,362,64.7,9,98.0,3.57,98.0,0.1,2377.74739,12753375.120052494,7.4,7.4,0.804,13.9,Zika,Bacterial,14.93,10.71,5.5,36-60,Male,905828,99.67,3.02,6.38,Vaccination,13250,No,51.85,3034,0.12,79286,0.71,83.8,54,1,0,110,206,0,0,108,1,0.0,1,1,2,0
Canada,2006,Developing,85.0,75.0,2,8.2,771.1817686,14.0,13,61.9,2,95.0,9.75,95.0,0.1,4386.69948,325755.0,0.5,0.4,0.891,15.8,Dengue,Respiratory,14.31,13.99,7.13,36-60,Male,954496,84.82,2.84,8.11,Therapy,27638,No,59.91,2356,2.76,57961,0.45,39.72,45,0,0,138,236,0,0,152,1,0.2,1,0,2,1
Turkey,2015,Developing,75.8,16.0,15,4.602860787172012,0.0,97.0,342,66.1,18,97.0,5.9381895280236,97.0,0.1,1979.52569,78271472.0,4.9,4.8,0.764,14.5,Ebola,Parasitic,9.34,10.49,2.36,36-60,Male,261976,73.39,1.0,4.51,Vaccination,20750,Yes,85.17,99,3.29,6872,0.82,40.45,41,0,2,112,268,0,0,172,1,0.0,2,0,2,1
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,COVID-19,Bacterial,18.0,12.26,8.05,61+,Female,109726,58.4,1.44,8.81,Therapy,12569,No,91.38,445,6.23,71718,0.59,59.46,66,0,3,150,226,0,1,114,0,2.6,0,0,2,1
Germany,2007,Developed,79.8,82.0,3,11.5,7777.556353,86.0,567,58.5,3,95.0,1.18,96.0,0.1,41814.8191,82266372.0,1.1,1.1,0.898,16.6,Rabies,Infectious,7.63,5.82,7.37,36-60,Other,737375,62.09,1.57,1.53,Vaccination,45222,Yes,58.41,4039,5.33,17099,0.81,36.55,37,1,2,130,250,0,1,187,0,3.5,0,0,2,1
Canada,2011,Developing,81.5,68.0,2,8.2,971.9280384,7.0,803,64.7,2,87.0,1.82,87.0,0.1,5282.2176,3434278.0,0.5,0.5,0.903,15.9,Rabies,Genetic,2.22,9.44,8.81,36-60,Female,702377,94.76,3.55,7.9,Therapy,36660,Yes,60.75,4528,8.23,8956,0.4,82.76,54,1,2,125,273,0,0,152,0,0.5,0,1,2,1
Japan,2005,Developed,82.0,69.0,3,7.99,6799.664423,80.94046121593291,0,24.4,4,95.0,8.18,98.0,0.1,37217.64873,127773.0,1.7,1.5,0.87,14.9,Parkinson's Disease,Metabolic,7.04,10.09,9.71,61+,Other,418943,97.99,4.95,5.6,Vaccination,14064,No,73.9,3211,2.79,25116,0.83,25.25,65,0,2,160,360,0,0,151,0,0.8,2,0,2,1
Mexico,2000,Developing,74.8,129.0,55,4.99,10.22840118,97.0,30,52.4,66,97.0,4.98,97.0,0.1,672.92113,11719673.0,2.0,1.9,0.694,11.4,Diabetes,Parasitic,16.6,11.62,4.93,36-60,Male,46853,89.77,0.81,7.17,Surgery,5653,No,90.44,3594,4.86,18112,0.63,62.78,54,0,2,108,267,0,0,167,0,0.0,2,0,2,1
Brazil,2011,Developing,74.1,152.0,51,7.58,1084.999766,98.0,43,52.8,57,98.0,8.9,99.0,0.1,13167.47289,198686688.0,2.9,2.8,0.724,14.0,Diabetes,Metabolic,14.53,0.2,6.44,36-60,Other,903639,92.98,2.4,5.41,Vaccination,30243,Yes,51.31,3404,7.08,30522,0.6,34.27,57,1,0,130,131,0,1,115,1,1.2,1,1,3,0
Saudi Arabia,2006,Developing,73.2,1.0,9,0.08,1395.454965,96.0,807,6.9,10,96.0,3.55,96.0,0.1,15334.66994,12753375.120052494,7.2,7.3,0.767,12.5,Asthma,Autoimmune,9.72,10.05,0.28,36-60,Female,165504,95.44,1.45,2.21,Surgery,15686,No,96.78,2150,8.45,72440,0.71,64.21,50,0,1,120,244,0,1,162,0,1.1,2,0,2,1
Indonesia,2011,Developing,68.3,185.0,134,0.08,211.8783404,81.0,21893,23.8,161,81.0,2.71,81.0,0.3,3634.27685,24577511.0,1.6,1.5,0.662,12.3,Asthma,Metabolic,13.61,7.27,0.15,61+,Other,35930,91.33,0.52,1.8,Vaccination,31360,Yes,76.91,4352,3.67,99287,0.87,65.52,67,0,2,152,277,0,1,172,0,0.0,2,1,2,1
South Africa,2012,Developing,59.2,48.0,43,7.38,1089.954838,68.0,32,48.7,56,65.0,8.79,65.0,7.6,7548.163698,5256515.8,6.0,7.3,0.644,12.8,Malaria,Metabolic,19.86,6.79,3.17,19-35,Male,440098,61.37,1.62,4.41,Therapy,30397,Yes,91.97,2323,7.15,64808,0.63,34.87,35,1,0,126,282,0,0,156,1,0.0,2,0,3,0
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Hepatitis,Neurological,1.64,1.97,3.88,36-60,Female,261510,54.17,1.22,6.99,Medication,3783,Yes,88.94,4750,4.58,56638,0.72,32.47,57,0,1,130,236,0,0,174,0,0.0,1,1,2,0
Turkey,2015,Developing,75.8,16.0,15,4.602860787172012,0.0,97.0,342,66.1,18,97.0,5.9381895280236,97.0,0.1,1979.52569,78271472.0,4.9,4.8,0.764,14.5,Measles,Viral,6.57,8.45,1.02,36-60,Other,93759,98.23,3.06,6.4,Vaccination,24200,Yes,98.75,149,1.35,37783,0.56,68.01,44,1,2,120,226,0,1,169,0,0.0,2,0,2,1
